idinsurance,start_date,end_date,contract_cost,car_vin,idincat,contract_code
TSO040785QND,10/9/2015,10/9/2017,"â‚¬666,35",WA1CGBFE2ED078569,XKO594331EAG1743,97598652
MDW330396VHA,12/19/2011,12/19/2016,"â‚¬1528,87",1G6KE54YX3U128947,GFA163677FZU4695,70853295
NRB889966EWU,7/16/2018,7/16/2019,"â‚¬388,05",1FTEW1E83AK002644,TLH516582VFJ3204,49154960
AQH655360XEI,11/14/2018,11/14/2026,"â‚¬1027,35",JTEBC3EH2D2241015,OYX550435HJT9206,41044967
HHV357077YES,3/19/2012,3/19/2016,"â‚¬945,34",1FTFW1E88AK999676,MLT498664IPD8824,19273007
JZV967055OZI,7/15/2020,7/15/2027,"â‚¬1084,94",JTDKDTB34D1047134,OOX708104KOW6189,91315634
JUH853295SEA,2/9/2013,2/9/2017,"â‚¬1233,42",SAJWA2GZXE8395239,OXF630341DFE1680,14105907
WUS182055NSD,4/24/2015,4/24/2016,"â‚¬928,37",KMHFG4JG9EA049171,KYC945305JZH2203,17035819
KWO891602JIE,8/19/2016,8/19/2025,"â‚¬217,60",1FTSW3B55AE158160,QTE941108GKV2049,78776121
WGN768417MEC,2/23/2015,2/23/2020,"â‚¬981,43",YV1622FS3C2491983,NKR407323ISU4724,99446681
NQK023257LWT,9/22/2014,9/22/2023,"â‚¬789,84",3D73M4EL1AG875134,OKL290098ZWL9337,30215631
WEE592081RGK,5/24/2019,5/24/2021,"â‚¬709,72",KMHGH4JF2BU259484,PYX798851HXZ4507,56994197
WLC429281AMT,10/23/2020,10/23/2022,"â‚¬1713,23",1GYS4AEFXDR165971,QJU751364JNI7131,15305277
TFN468472MLZ,8/10/2018,8/10/2021,"â‚¬1165,64",WA1CFAFP3FA105523,LAN630344NFD8277,26673437
XVJ057685LKF,1/5/2014,1/5/2019,"â‚¬1111,21",2G4GR5GX6F9088017,DGE757217EUE2102,90135734
EAY690045NVU,4/18/2016,4/18/2023,"â‚¬1231,53",2G4WD582871429902,ETS927492BWS7125,82489469
TMC927022DLQ,12/27/2015,12/27/2021,"â‚¬982,41",WBAVB73518K088165,LYS526442TLD8948,29417992
YRS431791BIX,1/26/2012,1/26/2021,"â‚¬1222,57",JN8AZ1MU1DW381457,HIS099321NMH0830,60505345
QKO222897XDF,2/14/2019,2/14/2027,"â‚¬365,18",1G6AF5SX2D0351818,HDA476511SXO4969,73172516
XEY580598JBP,6/29/2020,6/29/2021,"â‚¬1689,91",WBABS334X2J926564,JBS302762NXC9753,52738670
CPY254618GAE,9/25/2018,9/25/2027,"â‚¬1961,99",19UUA65506A849720,VAR380051WNN1261,14030468
SXF675721LPW,6/8/2021,6/8/2030,"â‚¬1142,16",2C3CCAFJ4CH888749,ANQ955583BME9914,66317748
OKJ348096LKM,12/17/2016,12/17/2022,"â‚¬1369,54",WAUMF78P96A931297,JNM243488CRM8236,30814338
ESY724288BTU,12/26/2013,12/26/2016,"â‚¬1666,16",1C4NJPBA2FD042754,FFS983512JSF4670,23617429
COS558436IDW,10/4/2018,10/4/2026,"â‚¬1308,71",1FT7W2A60EE573340,AFA492063JZZ8644,51123850
EBS176525UAH,5/11/2019,5/11/2027,"â‚¬1940,33",1FA6P0H74F5756228,OSZ125432BXH4230,4446192
DZX833588GSI,7/20/2013,7/20/2019,"â‚¬881,91",WBA3F9C58EK778725,BII240012RSQ3757,65645415
FPZ105573BXV,8/19/2016,8/19/2022,"â‚¬496,63",1N4AB7AP3DN718577,UGW410819WFE8926,16248888
TOB522976KOS,11/26/2010,11/26/2014,"â‚¬368,17",WAUDT48H54K609859,MZO670160VEX7889,22963668
IGH260916SOO,12/10/2013,12/10/2018,"â‚¬732,31",1G6DA67V480940271,NIR415996JFQ8400,94118860
TWH692004PHV,2/11/2018,2/11/2021,"â‚¬1836,34",WBADN63482G702305,RRN584507WMS2024,39094103
NJK823648JRC,1/25/2012,1/25/2017,"â‚¬575,80",WAUKH94F17N512008,XGL700383BPM8064,47037577
PAF114457MHZ,5/23/2014,5/23/2018,"â‚¬1537,03",WAUPN94E58N695565,BIM505853NOG9175,28918973
KMG739492PGU,1/11/2011,1/11/2014,"â‚¬284,19",JN1AZ4EH4EM190260,BTG189313PHY3464,21315345
WBY352492GAH,12/29/2020,12/29/2027,"â‚¬1721,22",3C3CFFJH2FT410382,MCD957540YXN3764,62691845
BLH747997SUS,9/15/2011,9/15/2018,"â‚¬1330,26",1FADP3E24DL074945,BZF093356EPF9752,47586807
MOH593614VUP,8/14/2017,8/14/2026,"â‚¬1490,37",1N6AA0CC3AN822221,EKK910745CWO5920,65156367
QWV675545KLR,3/3/2019,3/3/2025,"â‚¬1464,39",WDDEJ7KB4CA854018,VZT868671JDA5877,67524085
PZF131065GUX,7/28/2010,7/28/2018,"â‚¬1812,20",JH4DC54855S499717,YNY644579NIA4440,46268067
DKB602597PNM,7/4/2015,7/4/2016,"â‚¬1505,08",JN8AS1MU9AM436538,SIV001385KDZ6849,30578793
KIM699360ZNN,10/20/2020,10/20/2025,"â‚¬524,72",WAUSG74F19N892350,GAX575173VGN2140,4056218
IYF830696YLM,2/12/2012,2/12/2016,"â‚¬1747,07",1C3ADEAZ2DV684744,WWL349090PNR8755,40768709
YNW375590PVR,11/15/2020,11/15/2024,"â‚¬815,65",1N6AF0KX2FN193872,IBD980103ATR7348,68119311
FYV008140PKV,3/26/2021,3/26/2026,"â‚¬865,72",WAUCFAFC8FN456548,CYL656743ZCF5651,98324195
BKH148329XBN,5/8/2013,5/8/2023,"â‚¬1223,20",1G4HR54K714983783,GCS777908ZQE9220,94289301
CRU112896IMC,8/15/2018,8/15/2021,"â‚¬1797,93",WAUDF78E88A405051,GOA681512AUS7417,22898238
YLK254669FKZ,9/29/2020,9/29/2026,"â‚¬1378,13",WAUBF98E28A563033,FBA481169DYO9021,4296598
RUH864917HAK,7/27/2017,7/27/2022,"â‚¬1240,40",SCFHDDAJ8BA032991,XVV825947WHG5270,47897095
BXV090310PBY,2/19/2020,2/19/2027,"â‚¬1987,38",SCBBP9ZA7CC284172,DVA379761RRW1848,10568280
MCQ397168JNB,8/23/2016,8/23/2022,"â‚¬796,17",1C6RD6LP2CS697839,VUI159849FPG0325,65402657
JHT364042JQF,9/14/2020,9/14/2024,"â‚¬1793,69",WBAGL63474D083347,RVF066779DZD3887,27202981
KZI649717JUI,12/10/2012,12/10/2019,"â‚¬1038,87",1G6DF5EG5A0391623,HZJ710144FEF3830,91907262
OEZ121924SME,5/16/2015,5/16/2019,"â‚¬642,82",WBAEK13567C884707,TTF430914NNN8311,67151810
CUD140826RAZ,1/24/2012,1/24/2017,"â‚¬1321,21",WA1VKAFP6AA736117,JKJ572218PSV5533,34475720
EUL931934KWD,6/6/2013,6/6/2021,"â‚¬1830,91",2C3CCAAG3CH780831,ZMM744286KNC6627,36971249
IDV852833QGW,9/12/2016,9/12/2021,"â‚¬211,42",SCBBR9ZAXBC246623,XAR230070HGX4635,51135338
AJO823770SKF,9/30/2012,9/30/2019,"â‚¬1564,55",WAUUFAFHXAN446208,BGM093841SLT1652,46160891
CEE476530ZEO,5/1/2016,5/1/2024,"â‚¬1721,38",WBAVC53558F129133,ALF104535YIM2831,45260698
HPX170466FOR,2/21/2018,2/21/2021,"â‚¬1612,72",1VWAH7A30EC551160,GLL809019IAX0567,97342876
SBO246852HGC,4/14/2013,4/14/2020,"â‚¬657,07",3D73M3CL8AG228159,EMD017093SKX9401,63596637
LCJ353655GBK,5/29/2014,5/29/2016,"â‚¬996,85",1FMCU0C75BK916053,PMM108152ZNW4939,30927329
FVA011681YNM,11/27/2015,11/27/2023,"â‚¬1520,33",19UUA66237A280478,GKK043391CYP3487,28852491
IPB672445VTM,9/28/2020,9/28/2025,"â‚¬991,23",5TDDCRFH3ES864670,IKR481206VFX5302,75237545
QFR678254RZO,2/7/2015,2/7/2025,"â‚¬266,84",1G6AH5SX2E0316059,MHF714928UYL6302,31676274
KHS749098EFZ,11/2/2016,11/2/2025,"â‚¬1999,65",3N1BC1CP1CK761411,SAP956425UUW3249,69313635
LNO145103YFN,9/1/2020,9/1/2029,"â‚¬311,22",5N1AA0NE6FN597300,WGX210589XNM5782,77491932
EDE012631UMK,12/11/2011,12/11/2016,"â‚¬1348,29",1N6AA0ED2FN426844,QCA063742WYF0879,94441616
ELD005139BWK,9/9/2020,9/9/2029,"â‚¬868,17",1GYS4BEF0BR215280,RSB576170JCA4844,28602384
ZIK965563MBL,9/25/2012,9/25/2016,"â‚¬1666,26",WAU3GAFD5FN214807,EJY019347LGE0613,87379517
FCT506946FTN,1/4/2018,1/4/2019,"â‚¬1396,99",1FTMF1EW1AF852968,ATQ340409YRU9095,77322632
WJV093721OLU,6/12/2011,6/12/2020,"â‚¬463,27",1G6DH5E56C0913980,DOE277310JDU0358,72286772
ZSZ327765VQY,10/17/2013,10/17/2022,"â‚¬697,78",5TFCY5F14BX578390,KLS364253RUQ8554,58138707
BND197895BRU,9/11/2011,9/11/2021,"â‚¬1430,77",JN8AZ2KR4DT964658,ECQ980017UZJ2208,91582944
ZTG755122VFJ,2/15/2018,2/15/2025,"â‚¬1303,72",WBANN73577B300122,ROE425672QRB3167,24951876
JOA412539USV,5/16/2016,5/16/2025,"â‚¬346,43",1GYS3BKJ8FR570067,CKC880677HYA1442,32734878
ZWG732399JZO,3/8/2020,3/8/2029,"â‚¬884,02",JM1NC2MF9E0952686,RND571828XRC4071,81255508
FFP881566UBN,2/12/2020,2/12/2026,"â‚¬1134,30",2C3CCARG2DH920714,WUY366787OWQ8321,88741998
PFZ964429ZHN,3/21/2012,3/21/2019,"â‚¬1544,28",WAURV78T78A690137,TUZ173761WYT6036,90459422
QMV117299KGW,6/12/2021,6/12/2024,"â‚¬1435,85",3D7TP2CTXBG439995,HDI198232DYZ1817,14261767
SZD591869XRL,11/17/2013,11/17/2020,"â‚¬1290,32",WAUCFAFC7FN711173,WEW754199IEO1753,8758637
AIG577989JJC,2/19/2013,2/19/2015,"â‚¬1259,01",5UXZW0C56D0786257,FHY544892JOL7736,86453650
LLN277290GFX,3/18/2017,3/18/2022,"â‚¬453,85",1FTSW3B55AE886951,CNO008313UEZ9103,91934385
BME728335VXD,9/27/2020,9/27/2029,"â‚¬1059,42",WAUEV74F98N345487,VST964862OHL3607,74183287
