idviolations,violation_date_time,violation_description,violation_time
6GL86T286T,4/19/2020,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis,10:20 AM
6OH96B590N,12/23/2009,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at,4:55 PM
1OR60J029R,7/25/2008,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo,10:17 AM
8ZA85P164Y,1/18/2006,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,12:57 PM
5CE38Y565G,11/16/2020,luctus cum sociis natoque penatibus et magnis dis parturient montes,10:36 PM
0WO88G294G,2/8/2012,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum,8:36 AM
1XG95H045D,5/8/2010,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,12:20 PM
2EO42H471E,7/6/2009,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,10:58 AM
6OE92P644U,7/2/2008,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,3:11 PM
6EN19S308C,5/1/2014,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero,10:16 PM
6IR46T727Z,7/20/2009,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum,7:59 PM
9MN18R751J,12/9/2007,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in,10:05 AM
1MZ68T804T,12/26/2007,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,4:54 AM
1FA71B053I,7/20/2014,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,9:16 AM
6CA47T568H,6/14/2009,blandit lacinia erat vestibulum sed magna at nunc commodo placerat,2:42 AM
0CI12M503Z,10/18/2010,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,4:55 AM
3JX45S727B,10/10/2010,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,1:21 PM
3FB84R373P,10/7/2019,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,12:41 AM
4MF95P950O,8/28/2016,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at,11:01 AM
9LG46V465W,11/18/2015,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in,9:04 AM
4DS74D927Q,9/13/2013,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,7:01 AM
9DN65D734Q,3/20/2009,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,5:09 AM
0IN03U487J,2/23/2016,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat,8:51 PM
6MQ76J027P,8/6/2006,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,1:56 PM
4MU32S318H,2/13/2012,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed,2:38 PM
5WH16W752V,11/28/2011,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl,11:35 AM
2TB59G672R,10/11/2012,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,6:27 PM
4BA56J975E,8/10/2008,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at,11:32 AM
9JN47B287Q,11/2/2009,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,4:35 PM
4XF62D039B,8/22/2016,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem,4:27 AM
6WZ62I223I,3/1/2011,sed augue aliquam erat volutpat in congue etiam justo etiam pretium,10:48 AM
8AS16Q664E,12/6/2009,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel,4:17 PM
1WU76B280F,2/1/2008,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac,2:22 AM
8VD83U230N,12/6/2011,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,4:45 AM
9WS95S763N,8/28/2009,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,12:49 AM
5VT13N190K,3/25/2010,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus,10:01 PM
7GF66P010U,9/10/2015,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium,10:53 PM
8PF64C199E,1/31/2012,magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit,3:15 PM
5NV12F675G,8/6/2009,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna,8:00 PM
5TC31C836Z,8/31/2016,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,2:11 AM
1CI40Q753G,3/17/2011,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,6:51 AM
5YB34Y185P,3/22/2010,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis,1:31 AM
7AA82P291E,8/3/2006,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna,12:30 AM
8VS88W667P,5/13/2013,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin,10:53 AM
3IN56N524G,11/26/2005,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,3:03 AM
0KJ20H439E,4/27/2015,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,11:09 PM
0QT44O873S,9/3/2012,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,4:37 AM
0LK45U136L,11/11/2015,non pretium quis lectus suspendisse potenti in eleifend quam a odio in,10:28 AM
8QE76W509X,6/8/2012,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan,9:18 PM
4YM61A559J,3/25/2014,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,4:04 AM
7TA00S049V,9/19/2011,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,6:15 PM
5YL61B255X,8/30/2011,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,4:03 AM
4UZ51F268O,10/10/2018,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,12:00 AM
9TW76B865S,5/23/2010,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,12:59 PM
8YM31N532H,1/22/2011,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque,12:37 PM
9XB51U676E,6/25/2009,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget,1:54 PM
7MJ19J636C,11/25/2009,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,10:53 AM
5HI08E105P,1/15/2010,in libero ut massa volutpat convallis morbi odio odio elementum eu,11:08 AM
5MQ71T469H,7/8/2007,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,6:09 PM
6XJ17Q916C,8/18/2009,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et,6:59 PM
6FA32F596B,1/14/2008,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula,10:55 PM
0AX79X763D,3/28/2008,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,8:59 PM
7EH55Q982R,12/13/2006,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,9:02 PM
2MQ63O785C,3/6/2013,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus,8:36 PM
2AL79M982J,9/24/2015,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,6:59 AM
7MK56Z405W,11/23/2008,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero,5:55 AM
7IE16K890U,10/27/2009,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus,9:06 PM
1CV69Z092M,5/28/2008,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio,3:58 PM
6NS62V796X,7/25/2012,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea,12:34 PM
8UT01O133O,11/11/2013,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,10:02 AM
4IF61J785W,12/9/2007,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,11:54 AM
7ER28W331N,7/14/2011,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,1:56 PM
1UN89F144P,1/14/2008,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus,9:54 AM
6UE32K046Q,4/2/2012,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,1:37 AM
1YX12I877H,7/22/2004,erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam,4:07 AM
3LL45A512C,4/3/2015,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,6:47 PM
8AY65V337H,7/1/2012,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus,4:59 AM
7UM68D973Q,4/13/2014,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,11:40 PM
9HE55B174F,12/4/2010,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,11:41 AM
5BM80L888R,10/16/2013,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis,2:20 PM
0ZZ73R546A,4/7/2011,a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,3:03 PM
0UG20O931V,10/24/2014,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum,5:30 PM
7PL31G498D,6/25/2012,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,5:50 AM
4HJ88O251H,12/18/2010,eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat,5:47 AM
9VP66X253Y,7/24/2013,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,10:24 PM
8DI79G168P,2/28/2011,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,6:43 PM
4PI65P763L,2/17/2010,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,1:58 PM
0XR20E270U,6/6/2020,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede,2:58 PM
8XC20P140G,2/4/2012,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,2:54 AM
5RV85E284S,11/26/2018,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,4:19 PM
6XF69X276F,7/30/2009,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque,7:40 PM
9QT23I664E,6/12/2011,dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,9:19 AM
2DF02Y429U,2/28/2015,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,3:04 PM
2LG14T254W,10/18/2011,mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,1:44 AM
8VD39Q455M,5/5/2018,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,7:06 AM
0ZP71F648A,7/20/2014,elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,10:00 AM
6CR76P512X,4/25/2009,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in,2:43 PM
6WA35A009D,6/28/2011,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit,9:18 AM
